wage,school,age
18.0000007483,10.5,44
10.0000003197,10.5,43
12.2222229025,10.5,43
21.1111100021,15,43
13.742499352,11.5,43
14.7619030198,11.5,43
15.5261888309,13.5,42
24.0000006132,18,42
28.3333332057,14.5,42
20.0000006776,16,42
10.4166673601,10.5,42
13.5760002576,10.5,41
14.4444431287,10.5,41
18.1818182273,18,41
25.0000015035,18,41
8.0000000457,9,41
11.7333335805,11,40
9.2452828969,12,40
16.5909077324,16,40
16.5399985654,18,40
6.8333337164,10.5,40
10.810810112,13.5,40
11.0000006969,10.5,40
10.0000003197,10.5,40
10.6666665567,10.5,40
18.999999148,18,40
10.2499995366,10.5,40
8.8888888713,10.5,40
8.0000000457,10.5,40
45.4545468486,13.5,40
9.0666661324,11.5,39
8.8888888713,11.5,39
15.0000007486,18,39
16.7499996475,14.5,39
10.6666665567,15,39
21.0000018093,18,39
11.2500007417,10.5,39
27.8333332632,18,39
13.9937505385,11.5,38
8.3333336692,11.5,38
9.8693331438,12,38
13.5135129949,10.5,38
13.1111118316,15,38
13.8333335714,11.5,38
17.0731695922,10.5,38
12.6666658716,18,38
12.8888903661,11.5,38
11.9047619757,11,38
13.7700000089,10.5,38
20.4999991121,14,38
12.9545446748,13,37
15.9523797828,12,37
11.3043470826,11.5,37
24.2436377123,18,37
18.2640020614,18,37
7.2000000965,10.5,37
15.1111103753,10,37
13.5999994424,11.5,36
13.2499991466,11.5,36
10.6666665567,8.5,36
14.9475000839,11.5,36
13.5999994424,18,36
11.3157884597,14.5,36
12.8888903661,12,36
7.1111109103,10.5,36
10.9090908247,12,36
15.3199992713,10.5,36
10.0625007542,10.5,36
8.3636360015,11.5,35
13.0952385842,11.5,35
12.0000002837,13,35
15.0000007486,16,35
17.1052635271,10.5,35
15.5555564972,11.5,35
10.0000003197,15,35
10.7500007534,11.5,35
12.6315802404,10.5,35
10.0000003197,15,34
11.2500007417,10,34
10.7500007534,13.5,34
11.7783775553,10.5,34
13.1111118316,16,34
24.0000006132,18,34
17.6839979504,13.5,34
16.2790706852,12,34
10.1428582621,11.5,33
11.3578943997,10.5,33
12.0250001589,10.5,33
11.9480510204,10.5,33
25.0000015035,10.5,33
14.5454541999,11.5,33
12.8499995059,10.5,32
16.2499990715,15,32
7.230769009,10.5,32
13.6842104623,11.5,32
12.0000002837,18,32
10.0000003197,10.5,32
11.6666675599,11.5,32
12.0000002837,10.5,31
7.9166663626,10.5,31
12.7500000164,14.5,31
9.3506488614,12,29
11.6883113838,11.5,29
11.3333329631,12,29
6.5555559033,10.5,29
11.1111113809,10.5,29
16.9230759451,13,28
14.2857142518,10.5,28
9.2499989841,16,28
5.0000001504,11.5,28
11.3333329631,14.5,27
8.4999998585,10,27
8.4782604478,11,27
6.0000001304,11.5,25
11.3157884597,11.5,24
7.6299996764,13,23
8.2222230003,11.5,23
10.5000008846,9,23
4.7999999783,13.5,23
5.7659575947,10.5,22
4.2499999212,10.5,22
7.5999994452,9,22
8.4999998585,11.5,22
10.0000003197,10.5,21
7.250000199,10.5,20
3.7500001729,10,18
20.2325559132,15,47
11.1688309243,10.5,47
29.3333347775,15,47
17.6623357773,15,47
20.0000006776,15,47
6.0000001304,10.5,47
3.3999998476,18,47
9.7777780652,10.5,47
12.9999989158,10.5,47
8.0000000457,9,47
13.9705886284,13,47
8.3333336692,10.5,46
12.500000728,10.5,46
14.3636368324,13,46
28.0000019637,18,46
16.0444457425,16,46
18.055554385,11,46
9.3181811045,10.5,46
15.3246752775,10.5,46
22.5000015263,16,46
12.9870125487,10.5,46
11.1340205008,10.5,45
13.3911111623,14,45
13.2499991466,10.5,45
20.7792195718,16,45
9.1666673238,11,45
12.7380954965,10.5,45
19.0724985834,11.5,45
4.4285713801,11.5,44
17.2518513803,18,44
8.7500008101,9,44
12.6190461466,11.5,44
14.2218183432,18,43
13.8666682299,11.5,43
19.2499978334,14,43
12.0000002837,11,43
21.1999981181,18,43
12.3404262959,11.5,43
15.0000007486,12,42
15.2173930105,11,42
16.8831183907,10.5,42
11.2941181666,10.5,42
10.3999988595,10.5,42
27.763160076,11,42
16.5849991473,16,42
6.9999996298,9,42
7.3542165463,10.5,42
16.0000001219,15,42
10.0000003197,12,41
9.8250007018,9,41
11.1111113809,10.5,41
14.571427707,11.5,41
13.7662348954,10.5,41
11.1627905362,10.5,41
10.5000008846,9,41
7.7499994758,12,41
11.4222213952,9,41
13.9024396969,10.5,41
14.2857142518,11,41
18.3333346825,14,41
17.5000016535,11.5,40
11.8421041527,10.5,40
13.7500012322,11.5,40
17.8181831207,18,40
17.710841728,13,40
13.4883735828,11.5,40
10.4444453289,11.5,40
8.0000000457,9,40
12.3287660371,10.5,40
16.0000001219,11.5,39
11.2500007417,10.5,39
8.444443763,10.5,39
4.5999999364,13,39
12.613637816,10.5,39
15.0000007486,18,39
9.000000357,10.5,39
10.6666665567,10.5,39
13.333333546,10.5,39
9.000000357,12,39
8.0000000457,11,39
15.6999994742,12,39
12.0000002837,18,38
17.33333161,18,38
12.9999989158,10.5,38
10.9433962979,10.5,38
8.7500008101,10.5,38
9.2499989841,11.5,38
11.5294107591,9,38
17.3913052437,18,38
21.4000010315,18,37
13.8823544858,14,37
6.7272724026,11.5,37
15.4666683104,11,37
16.2499990715,10.5,37
13.7500012322,13.5,37
13.7000006166,15,37
9.1666673238,10.5,37
9.4999995559,12,37
12.2499986576,11,36
17.5000016535,11,36
17.4025954356,15,36
13.580247565,10.5,36
18.2608714605,16,36
10.2941166463,10.5,36
9.4999995559,7,35
7.0833332744,10.5,35
11.3333329631,11,35
13.2239121867,12,35
20.0000006776,18,35
6.285714291,10.5,35
12.7272731963,10.5,35
9.7499993431,11.5,35
16.0000001219,15,35
15.1111103753,16,35
12.2352933708,10.5,35
8.2500006549,13,34
9.8701308541,10.5,34
19.1666671378,17,34
12.7500000164,16,34
18.0219997123,14.5,34
14.5733316377,18,34
14.2857142518,11,34
8.8000003264,11.5,33
7.6744189213,10.5,33
9.8701308541,14,33
15.3779984037,18,33
12.500000728,11.5,33
16.0000001219,18,33
12.500000728,10.5,33
15.0000007486,11,33
9.0476181517,10.5,32
16.3151517401,10.5,32
6.9999996298,10,32
7.7777782338,10.5,32
7.7777782338,14,32
9.7613638639,10.5,32
10.0000003197,10.5,32
8.9788229851,11.5,32
7.50000036,10.5,31
9.4999995559,10.5,30
15.8974364318,11.5,30
8.8095244818,10.5,29
10.0000003197,10.5,28
10.3896097661,15,28
8.0000000457,7,27
4.5000001699,18,26
8.7500008101,13.5,26
10.0000003197,10,25
8.5794880732,14.5,25
10.0000003197,10.5,25
8.0000000457,9,25
9.7499993431,10.5,24
6.5000002204,10.5,24
7.50000036,10.5,24
12.2352933708,10.5,24
10.0000003197,11.5,23
7.50000036,11.5,23
8.8083336614,10.5,23
4.2857142235,10.5,22
6.5000002204,10.5,22
10.1298709307,8.5,22
8.1672731384,11.5,22
3.229999986,11.5,21
5.7500000715,10.5,20
7.50000036,10.5,20
4.5714283118,10,20
9.7619038102,10.5,47
27.7777792347,15,47
14.2857142518,11.5,47
13.6399991732,11.5,47
14.5652173416,12,47
13.5000007776,10.5,47
12.2499986576,10.5,47
13.1000007258,10.5,47
11.7241391866,11.5,47
21.6666650815,14,47
13.1111118316,10.5,47
14.1860469587,12,47
10.4761905922,11,46
31.7499978088,18,46
11.988887497,15,46
12.500000728,10.5,46
16.4102581656,11.5,46
11.0526307451,11,46
16.7499996475,16,46
14.2857142518,11,46
12.500000728,10.5,46
19.5555561677,10.5,46
55.5555585752,13,46
13.7500012322,10.5,46
15.2173930105,15,46
13.8333335714,10.5,46
10.0000003197,9,46
21.428571762,18,46
19.0476186972,16,46
23.5384641331,18,45
12.8577774752,11.5,45
14.6666673608,12,45
9.7499993431,10.5,45
22.2400000429,16,45
18.7500014281,12,45
16.2857128294,10.5,45
17.313333163,14.5,45
22.1428549268,18,45
14.4444431287,18,45
25.0000015035,18,45
23.0000003737,18,45
11.8749997568,10.5,45
14.6666673608,10.5,44
15.1898733192,12,44
22.6315769624,18,44
13.333333546,15,44
20.9090905928,16,44
21.0000018093,18,44
7.7333341405,11.5,44
15.4761887829,11,44
12.500000728,11,44
17.7027024381,10.5,44
14.7243905321,16,44
13.7777764043,10.5,44
16.444446032,11,44
16.4814830393,13.5,44
17.7777777765,16,44
10.8704549651,10.5,44
8.9743585572,10.5,43
8.0000000457,11.5,43
9.000000357,12,43
23.0000003737,18,43
